Teks_Asli,Cleaned_Message,Label_Validasi
Oke bg,oke bg,setuju
Bg berapa kemarin harganya ya,bg berapa kemarin harganya ya,lainnya
Okey bg,okey bg,setuju
Tutup jam brp bg,tutup jam brp bg,lainnya
Okey bg bntr lagi saya kesana,okey bg bntr lagi saya kesana,setuju
Saya otw kesana bg,saya otw kesana bg,lainnya
misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,lainnya
abg buka nd yah hari ini saya antar leptop lgi,abg buka nd yah hari ini saya antar leptop lgi,lainnya
oke nnti saya bawa,oke nnti saya bawa,setuju
bg mau tanya leptop nya udh betul belum,bg mau tanya leptop nya udh betul belum,lainnya
oke bg,oke bg,setuju
besok sya ambil yah bg,besok sya ambil yah bg,lainnya
bg ad biaya tambahan gk,bg ad biaya tambahan gk,lainnya
oke bg,oke bg,setuju
bg besok yk sye ambil nd sempat hri ni,bg besok yk sye ambil nd sempat hri ni,lainnya
min adakah ready laptop yang budgetnye 4-5 jutaan,min adakah ready laptop yang budgetnye jutaan,lainnya
bebas min,bebas min,lainnya
Ok,ok,lainnya
Tes,tes,lainnya
Indra dari jabacom,indra dari jabacom,lainnya
"*ENCLOSURE ORION* (3thn) ✅
~ ENCLOSURE 2.5"" SATA
Usb 3.0 hitam @56.500 
Usb 3.0 hitam RGB @66.500
Usb 3.0 transparan @64.000
~ ENCLOSURE M.2
M.2 Nvme type C metal abu2 @174.000 
M.2 Nvme type C transparan @154.000
M.2 Sata type C @110.000
~ DOCKING ORION
2 Bay @335.000",enclosure orion thn enclosure sata usb hitam usb hitam rgb usb transparan enclosure m m nvme type c metal abu m nvme type c transparan m sata type c docking orion bay,lainnya
Oke bang,oke bang,setuju
Tes kak,tes kak,lainnya
"Pagi min, mau tanya kalau service laptop rusak lcd nya berapa ya biayanya?",pagi min mau tanya kalau service laptop rusak lcd nya berapa ya biayanya,lainnya
Acer a314-21 min,acer a min,lainnya
Okeey min,okeey min,setuju
Malam bg,malam bg,lainnya
Bg waktu itu kan reset leptop kate abg masih bise pulihkan,bg waktu itu kan reset leptop kate abg masih bise pulihkan,lainnya
Bise k bg? Wa saye dibajak kemaren,bise k bg wa saye dibajak kemaren,lainnya
Bg tolong jawab bilang bise bg,bg tolong jawab bilang bise bg,lainnya
Wa saye dipake orng yg nd bertangong jwb bg,wa saye dipake orng yg nd bertangong jwb bg,lainnya
"Abis file kuliah saye, emg nd bise benar k bg, nanti sye bayar",abis file kuliah saye emg nd bise benar k bg nanti sye bayar,lainnya
Yg ngantarkan tu kawan saye bodo bengak2 ubi,yg ngantarkan tu kawan saye bodo bengak ubi,lainnya
Die kire saye yg nyuruh,die kire saye yg nyuruh,lainnya
File kuliah tk bg kayak pdf ape tu😫😭,file kuliah tk bg kayak pdf ape tu,lainnya
Iye bg😭,iye bg,lainnya
Bise tolong nd bang,bise tolong nd bang,lainnya
Jadi emg nd bise sme sekali lh ni ye bang?,jadi emg nd bise sme sekali lh ni ye bang,lainnya
Yallah e,yallah e,lainnya
"Cobe abg tolong chat gini ke saye bilang, bise dipulihkan file tu",cobe abg tolong chat gini ke saye bilang bise dipulihkan file tu,lainnya
Nd maksud nye purak2 bilang bise,nd maksud nye purak bilang bise,lainnya
"Alah pening kmek ni bg mnde tu orng bajak wa, ngerase menang lh die kalau tau leptop saye ndk bise dipulihkan",alah pening kmek ni bg mnde tu orng bajak wa ngerase menang lh die kalau tau leptop saye ndk bise dipulihkan,lainnya
Saye nd tau ape2 saye barok balek kampong,saye nd tau ape saye barok balek kampong,lainnya
min bisa instal spss?,min bisa instal spss,lainnya
macbook bisa min?,macbook bisa min,lainnya
oalahh oke deh min,oalahh oke deh min,setuju
