text,clean_text,intent,source
smlm masih bisa,smlm masih bisa,lainnya,real
Yang ini cari in dulu lah ya,yang ini cari in dulu lah ya,lainnya,real
jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya?,jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya,lainnya,real
Coba aja kk,coba aja kk,lainnya,real
baik bang saya mau🙏,baik bang saya mau,lainnya,real
itu yg dri jakarta blm konfirmasi ya?,itu yg dri jakarta blm konfirmasi ya,lainnya,real
"Ok Bang, sekitar sore atau habis magrib ngambilnya",ok bang sekitar sore atau habis magrib ngambilnya,lainnya,real
Ooo gitu,ooo gitu,lainnya,real
terus gimana ya kak?,terus gimana ya kak,lainnya,real
Baik bg,baik bg,lainnya,real
kalau dikosongin aja bisa ga itu ya bg,kalau dikosongin aja bisa ga itu ya bg,lainnya,real
bisa dibetulkan ndak tu bang?,bisa dibetulkan ndak tu bang,lainnya,real
Siap bg,siap bg,lainnya,real
"Saya baru bisa ambil sekarang, kalau besok pagi atau siang bisa diambil jam berapa?",saya baru bisa ambil sekarang kalau besok pagi atau siang bisa diambil jam berapa,lainnya,real
Kehapus kayanya,kehapus kayanya,lainnya,real
maaf kak keyboard ny yg di bawah 550 ribu ada ndak ya kak🙏🏼,maaf kak keyboard ny yg di bawah ribu ada ndak ya kak,lainnya,real
Yg lain tidak ada kah bg,yg lain tidak ada kah bg,lainnya,real
"Ok 
Pembayaran bisa menggunakan qris/TF?",ok pembayaran bisa menggunakan qristf,lainnya,real
itu perlu diinstal ga,itu perlu diinstal ga,lainnya,real
"Gpp dh bg, gak usah diperbaiki, laptop e udh lama juga",gpp dh bg gak usah diperbaiki laptop e udh lama juga,lainnya,real
Ye,ye,lainnya,real
Terus itu gimna ya bang,terus itu gimna ya bang,lainnya,real
Udah bisa di ambil kah bg laptop nya?,udah bisa di ambil kah bg laptop nya,lainnya,real
Nnti barang nya saya ambil ya bg,nnti barang nya saya ambil ya bg,lainnya,real
bang sya ambil nya nunggu hujan reda aja klo ga besok ya,bang sya ambil nya nunggu hujan reda aja klo ga besok ya,lainnya,real
Kira–kira kapan bisa diambil bu?,kirakira kapan bisa diambil bu,lainnya,real
untuk kesalahan ny di situ saja ya kak,untuk kesalahan ny di situ saja ya kak,lainnya,real
Baik terimakasih,baik terimakasih,lainnya,real
"laptop yg kemarin nd hidup lagi bang, udah di cas berjam jam jga nd mau hidup",laptop yg kemarin nd hidup lagi bang udah di cas berjam jam jga nd mau hidup,lainnya,real
Itulah,itulah,lainnya,real
Td saye taruh dstu si bg,td saye taruh dstu si bg,lainnya,real
"Sbntr ya, sdh di ayani",sbntr ya sdh di ayani,lainnya,real
Soalnya masih lemot skrg,soalnya masih lemot skrg,lainnya,real
Bisa nda DVD nya tu,bisa nda dvd nya tu,lainnya,real
gatau cba cek bg,gatau cba cek bg,lainnya,real
"Yaudah gpp bg, gak jadi diperbaiki",yaudah gpp bg gak jadi diperbaiki,lainnya,real
Sip bang,sip bang,lainnya,real
ohh gitu ya bg,ohh gitu ya bg,lainnya,real
"Maaf Sya Mau Tanya,,",maaf sya mau tanya,lainnya,real
tes,tes,lainnya,real
Bang,bang,lainnya,real
Iya bg kosong local d aja yg di ambil,iya bg kosong local d aja yg di ambil,lainnya,real
"Terimakasihhhh bang, senin yang saya ambilll",terimakasihhhh bang senin yang saya ambilll,lainnya,real
"Abis file kuliah saye, emg nd bise benar k bg, nanti sye bayar",abis file kuliah saye emg nd bise benar k bg nanti sye bayar,lainnya,real
"minus hanya shadow tipis pink, dan port hanya bisa 1 untuk charging, port lain pemindahan data",minus hanya shadow tipis pink dan port hanya bisa untuk charging port lain pemindahan data,lainnya,real
misi bang udah selesai kah bang ?,misi bang udah selesai kah bang,lainnya,real
Gimana kondisi nya,gimana kondisi nya,lainnya,real
Dana Jak ye bang,dana jak ye bang,lainnya,real
Bisa dicek gak.,bisa dicek gak,lainnya,real
Jam brpa tutup tokonya bang,jam brpa tutup tokonya bang,lainnya,real
msih,msih,lainnya,real
maaf bang laptop ny sy pakai jk dlu🙏🏻,maaf bang laptop ny sy pakai jk dlu,lainnya,real
"Bang 
Tutup jam brp toko ny?",bang tutup jam brp toko ny,lainnya,real
"Iya baik bang 
Mksih",iya baik bang mksih,lainnya,real
Jam brpa mas kira kira?,jam brpa mas kira kira,lainnya,real
Assalamualaikum Toko buka ke bos?,assalamualaikum toko buka ke bos,lainnya,real
Ok bg,ok bg,lainnya,real
Bang maaf mau tanya kemarin waktu install ulang semua file yang ada disini ada di backup nda ya?,bang maaf mau tanya kemarin waktu install ulang semua file yang ada disini ada di backup nda ya,lainnya,real
"Nanti aja dlu bu, blm ada uang",nanti aja dlu bu blm ada uang,lainnya,real
"BEGIN:VCARD
VERSION:3.0
N:;Brother Pai;;;
FN:Brother Pai 
TEL;type=CELL;type=VOICE;waid=6281156701235:+62 811-5670-1235
END:VCARD",beginvcard version nbrother pai fnbrother pai teltypecelltypevoicewaid endvcard,lainnya,real
Tadi gak keburu jdi krja dulu,tadi gak keburu jdi krja dulu,lainnya,real
Bang,bang,lainnya,real
Ok... Masih,ok masih,lainnya,real
sudah bnv,sudah bnv,lainnya,real
Terima kasih bang 🙏🏻,terima kasih bang,lainnya,real
Masih buka kan,masih buka kan,lainnya,real
besok aja ya kak saya ngambil nya saya lagi diluar Pontianak,besok aja ya kak saya ngambil nya saya lagi diluar pontianak,lainnya,real
Saya mau ambil file di dalamnya bang,saya mau ambil file di dalamnya bang,lainnya,real
Nanti di ambil lagi hujan,nanti di ambil lagi hujan,lainnya,real
bang laptop saya belum kah,bang laptop saya belum kah,lainnya,real
Oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,lainnya,real
Maaf bh baru buka hp,maaf bh baru buka hp,lainnya,real
Baik.. Nnti saya ke sana ya,baik nnti saya ke sana ya,lainnya,real
"Kire"" msh lma ke bg",kire msh lma ke bg,lainnya,real
"baik bg, nanti saya info kembali soal jadi atau nga nya ya bg🙏🏻",baik bg nanti saya info kembali soal jadi atau nga nya ya bg,lainnya,real
Kira2 sore ini bisa diambil ndk bg?,kira sore ini bisa diambil ndk bg,lainnya,real
perbaikannya berapa lama ya bang?,perbaikannya berapa lama ya bang,lainnya,real
Kira2 tutup ny jam berapa ya bang?,kira tutup ny jam berapa ya bang,lainnya,real
Segera di ambil,segera di ambil,lainnya,real
kira² jam 3an selesai nd bang,kira jam an selesai nd bang,lainnya,real
"siang bang, mau tanya untuk laptop ultrabook yang 2jtaan ada ga bang",siang bang mau tanya untuk laptop ultrabook yang jtaan ada ga bang,lainnya,real
bentar kk saya mikir bntarr,bentar kk saya mikir bntarr,lainnya,real
brp lama,brp lama,lainnya,real
bg besok saye ambek laptop e,bg besok saye ambek laptop e,lainnya,real
SULISTIA123,sulistia,lainnya,real
ly042213 bang,ly bang,lainnya,real
Iya bang,iya bang,lainnya,real
gpp,gpp,lainnya,real
"gerak bang, hanye kiri kanannye nd bise di tekan",gerak bang hanye kiri kanannye nd bise di tekan,lainnya,real
"Cobe abg tolong chat gini ke saye bilang, bise dipulihkan file tu",cobe abg tolong chat gini ke saye bilang bise dipulihkan file tu,lainnya,real
Siap bang,siap bang,lainnya,real
terimakasih kak,terimakasih kak,lainnya,real
Baik bang,baik bang,lainnya,real
"Ok kk, terimakasih ya",ok kk terimakasih ya,lainnya,real
"Pagi kk, jdi kek mne kk laptopnye?",pagi kk jdi kek mne kk laptopnye,lainnya,real
Yg tak mau ngisik tu.pakai pengecas siapa,yg tak mau ngisik tupakai pengecas siapa,lainnya,real
Siang bg,siang bg,lainnya,real
Yg juta aja bg,yg juta aja bg,lainnya,real
wa nya jak yang dak bise,wa nya jak yang dak bise,lainnya,real
Ok jm 9 ya,ok jm ya,lainnya,real
Siang. Langsung di perbaiki aja bang,siang langsung di perbaiki aja bang,lainnya,real
Gmn besok aja saya ke sana mas,gmn besok aja saya ke sana mas,lainnya,real
udh tdi ga hidup juga,udh tdi ga hidup juga,lainnya,real
Malam ini tutup jam berapa,malam ini tutup jam berapa,lainnya,real
Baik bang.. Tutup toko jam brp ya,baik bang tutup toko jam brp ya,lainnya,real
skrg masih buka kh bng,skrg masih buka kh bng,lainnya,real
bang pembayaran nya bisa tf ga,bang pembayaran nya bisa tf ga,lainnya,real
sepaket gimne tu bg?,sepaket gimne tu bg,lainnya,real
saya ambil besok ya bang,saya ambil besok ya bang,lainnya,real
Sekali no rek ya bang,sekali no rek ya bang,lainnya,real
yg keyboard nya udh d matikan bisa kh bang,yg keyboard nya udh d matikan bisa kh bang,lainnya,real
Ruben3003,ruben,lainnya,real
bebas min,bebas min,lainnya,real
Ohh ok bang mksehh infonyee🙏🙏,ohh ok bang mksehh infonyee,lainnya,real
Infokan ya bg kalau dh selesai,infokan ya bg kalau dh selesai,lainnya,real
"Saya ambil ajaa besok bang, maaf ya bangg budget nya belum adaa",saya ambil ajaa besok bang maaf ya bangg budget nya belum adaa,lainnya,real
Ndak di update windows 11 ye bang. ada ngefreeze lagi nda  bang pas di cek,ndak di update windows ye bang ada ngefreeze lagi nda bang pas di cek,lainnya,real
Okke bg,okke bg,lainnya,real
Untk leptop Advan cuma itu aja ke bg perbaikannya?,untk leptop advan cuma itu aja ke bg perbaikannya,lainnya,real
Owh iya bang,owh iya bang,lainnya,real
"Pagi bang, ini kenapa laptopnya aneh ya? Setiap saya mau ngetik, malah nda bisa",pagi bang ini kenapa laptopnya aneh ya setiap saya mau ngetik malah nda bisa,lainnya,real
Ok bu makasih,ok bu makasih,lainnya,real
Ndk bng soalnye ndk ngerti lepaskan e gmne,ndk bng soalnye ndk ngerti lepaskan e gmne,lainnya,real
Ok bg,ok bg,lainnya,real
Brpa bg klau betulkn frame tuh,brpa bg klau betulkn frame tuh,lainnya,real
Yang penting word ny nda bermasalah lg,yang penting word ny nda bermasalah lg,lainnya,real
Emang udah rusak kybord nya suka error,emang udah rusak kybord nya suka error,lainnya,real
Ohh iya makasih kak,ohh iya makasih kak,lainnya,real
Iyaaa bang nantik saya ambil ya,iyaaa bang nantik saya ambil ya,lainnya,real
Bisa kurang gak bang?,bisa kurang gak bang,lainnya,real
nd bise kurang ke bang,nd bise kurang ke bang,lainnya,real
waw cepet banget,waw cepet banget,lainnya,real
Bg apakah sudah bisa di ambil?,bg apakah sudah bisa di ambil,lainnya,real
Saya bawa,saya bawa,lainnya,real
Baik bang,baik bang,lainnya,real
oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,lainnya,real
"Ok bang, bntr y",ok bang bntr y,lainnya,real
tiba-tiba jak bang,tibatiba jak bang,lainnya,real
Kapan bisa di ambil?,kapan bisa di ambil,lainnya,real
Ok bg,ok bg,lainnya,real
Bisa kurang gak pak?,bisa kurang gak pak,lainnya,real
Jam 9 saye plg bg..mungkin smpai di stu jam 9 lewat gtu bg..,jam saye plg bgmungkin smpai di stu jam lewat gtu bg,lainnya,real
Asus Vivobook A416JA terima jual brp kk?,asus vivobook aja terima jual brp kk,lainnya,real
Iya tq besok saya bawa kesana tq,iya tq besok saya bawa kesana tq,lainnya,real
"Baik la, otw",baik la otw,lainnya,real
Makasi bang,makasi bang,lainnya,real
okay,okay,lainnya,real
"Bg infokan secepatnya ya kpn bisa di ambil, soalnya lgi butuh 🙏",bg infokan secepatnya ya kpn bisa di ambil soalnya lgi butuh,lainnya,real
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya bu",duh ternyata harga laptop baru gak beda jauh gak jadi ya bu,lainnya,real
klo benerkn hardware kira” brp bg?,klo benerkn hardware kira brp bg,lainnya,real
"bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg, nah itu tu knp ya",bg kn kmrn saya nd pakai laptop sy trs pas baru saya pakai hri ini die tu tetap blue screen bg nah itu tu knp ya,lainnya,real
Ada mines nya gak bang,ada mines nya gak bang,lainnya,real
tokonya tutup jam berapa ya?,tokonya tutup jam berapa ya,lainnya,real
"Nah itu saya nda tau,
Itu dilihat nya darimna?",nah itu saya nda tau itu dilihat nya darimna,lainnya,real
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya,real
Ada garansi kah bg,ada garansi kah bg,lainnya,real
"Oalaa, berarti jangan biarkan cas bermalam gitu ya",oalaa berarti jangan biarkan cas bermalam gitu ya,lainnya,real
Ok,ok,lainnya,real
"Baik bang, nanti sore diambilnya",baik bang nanti sore diambilnya,lainnya,real
Bisa kurang gak pak?,bisa kurang gak pak,lainnya,real
Nanti saya ambil,nanti saya ambil,lainnya,real
Sdh selesai apa blm dik Laptopnya,sdh selesai apa blm dik laptopnya,lainnya,real
Yaudahh bg saya ambil aja laptop nya,yaudahh bg saya ambil aja laptop nya,lainnya,real
Ok makasih,ok makasih,lainnya,real
nanti saya ambil,nanti saya ambil,lainnya,real
Nanti saya ambil labtob nya,nanti saya ambil labtob nya,lainnya,real
"Bg, saya ambil laptop sore hr ini ya. Dkt² magrib kek nya",bg saya ambil laptop sore hr ini ya dkt magrib kek nya,lainnya,real
iya santai jak kak,iya santai jak kak,lainnya,real
Ok bg,ok bg,lainnya,real
Tapi bole gak di cek kan dlu,tapi bole gak di cek kan dlu,lainnya,real
