text,clean_text,intent,source
Kira2 tutup ny jam berapa ya bang?,kira tutup ny jam berapa ya bang,lainnya,main
Info bg kapan bisa ambil😊,info bg kapan bisa ambil,lainnya,main
Buka sampe jam berapa bg,buka sampe jam berapa bg,lainnya,main
Malam bang.. Hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya.,malam bang hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya,lainnya,main
"Sore bang, saya jadi pesan baterai utk laptop Advan saya bang",sore bang saya jadi pesan baterai utk laptop advan saya bang,lainnya,main
"Abis file kuliah saye, emg nd bise benar k bg, nanti sye bayar",abis file kuliah saye emg nd bise benar k bg nanti sye bayar,lainnya,main
Bang kalo gak jadi saya bayar berapa?,bang kalo gak jadi saya bayar berapa,lainnya,main
sudah bnv,sudah bnv,lainnya,main
ad ongkos lain kah bang pas pengambilan,ad ongkos lain kah bang pas pengambilan,lainnya,main
waw cepet banget,waw cepet banget,lainnya,main
oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,oh iya bang yang kemaren sekalian ubah tampilan menu nya ya bang,lainnya,main
yg keyboard nya udh d matikan bisa kh bang,yg keyboard nya udh d matikan bisa kh bang,lainnya,main
Ooo gitu,ooo gitu,lainnya,main
"kan kemarin abg bilang buat bagi penyimpanan nya juga ke data D, tapi data D juga ada disitu ngaruh gak kira2 ke penyimpanan local disk C nya?",kan kemarin abg bilang buat bagi penyimpanan nya juga ke data d tapi data d juga ada disitu ngaruh gak kira ke penyimpanan local disk c nya,lainnya,main
smlm masih bisa,smlm masih bisa,lainnya,main
Hari minggu buka ga tempat nya?,hari minggu buka ga tempat nya,lainnya,main
Baik bang,baik bang,lainnya,main
Apakah laptop sy sudah di lakukan pengecekan,apakah laptop sy sudah di lakukan pengecekan,lainnya,main
"Baru gitu kah bg depannya, nda pakai yang patah itu lagi ya bg ? Oke bg,  ntr saya nanya ortu dulu ya bg Jadi kalau dengan cas ni 650 ya bg Ini nda bisa kurang lagi kah bg",baru gitu kah bg depannya nda pakai yang patah itu lagi ya bg oke bg ntr saya nanya ortu dulu ya bg jadi kalau dengan cas ni ya bg ini nda bisa kurang lagi kah bg,lainnya,external
Tolong dibersihkan bagian dalam ya.,tolong dibersihkan bagian dalam ya,lainnya,main
perbaikannya berapa lama ya bang?,perbaikannya berapa lama ya bang,lainnya,main
bs po ndk bang,bs po ndk bang,lainnya,main
Tutup smpai jam berapa bg,tutup smpai jam berapa bg,lainnya,main
"Nanti aja dlu bu, blm ada uang",nanti aja dlu bu blm ada uang,lainnya,main
Iya gitu aja deh mba,iya gitu aja deh mba,lainnya,main
Baik terimakasih,baik terimakasih,lainnya,main
Tadi gak keburu jdi krja dulu,tadi gak keburu jdi krja dulu,lainnya,main
Udah bisa di ambil kah bg laptop nya?,udah bisa di ambil kah bg laptop nya,lainnya,main
"Bg, saya ambil laptop sore hr ini ya. Dkt² magrib kek nya",bg saya ambil laptop sore hr ini ya dkt magrib kek nya,lainnya,main
Ok,ok,lainnya,main
brp lama,brp lama,lainnya,main
tungguu yaa bang saya nanya orang tua duluu,tungguu yaa bang saya nanya orang tua duluu,lainnya,main
Jadi udah bisa ya kk?,jadi udah bisa ya kk,lainnya,main
Siap bg,siap bg,lainnya,main
Dana Jak ye bang,dana jak ye bang,lainnya,main
Gada bang hm,gada bang hm,lainnya,main
maaf kak keyboard ny yg di bawah 550 ribu ada ndak ya kak🙏🏼,maaf kak keyboard ny yg di bawah ribu ada ndak ya kak,lainnya,main
kapan itu kira-kira bisa diambil bg,kapan itu kirakira bisa diambil bg,lainnya,main
"Pagi kk, jdi kek mne kk laptopnye?",pagi kk jdi kek mne kk laptopnye,lainnya,main
"bg, ttup?",bg ttup,lainnya,main
Emang udah rusak kybord nya suka error,emang udah rusak kybord nya suka error,lainnya,main
masih di kantor,masih di kantor,lainnya,main
"baik bg, nanti saya info kembali soal jadi atau nga nya ya bg🙏🏻",baik bg nanti saya info kembali soal jadi atau nga nya ya bg,lainnya,main
Iya udh lh .,iya udh lh,lainnya,main
gatau cba cek bg,gatau cba cek bg,lainnya,main
bg ada jual cas laptop nda,bg ada jual cas laptop nda,lainnya,main
Agak sorean ya bang saya ambilnya,agak sorean ya bang saya ambilnya,lainnya,main
Mau nanya,mau nanya,lainnya,main
waalaikumsalam,waalaikumsalam,lainnya,main
bisa dibetulkan ndak tu bang?,bisa dibetulkan ndak tu bang,lainnya,main
test,test,lainnya,main
Brpa bg klau betulkn frame tuh,brpa bg klau betulkn frame tuh,lainnya,main
"baik kak terimakasih infonya, mungkin malam baru bisa saya ambil",baik kak terimakasih infonya mungkin malam baru bisa saya ambil,lainnya,main
klo cas laptop acer berapa,klo cas laptop acer berapa,lainnya,main
Bang mun nak betolkan laptop kire-kire sampai jam berape?,bang mun nak betolkan laptop kirekire sampai jam berape,lainnya,external
"Maaf Sya Mau Tanya,,",maaf sya mau tanya,lainnya,main
Bang,bang,lainnya,main
Jdi bru ku bawa ke toko abg,jdi bru ku bawa ke toko abg,lainnya,main
"minus hanya shadow tipis pink, dan port hanya bisa 1 untuk charging, port lain pemindahan data",minus hanya shadow tipis pink dan port hanya bisa untuk charging port lain pemindahan data,lainnya,main
reskyka syahria,reskyka syahria,lainnya,main
Ok,ok,lainnya,main
Segera di ambil,segera di ambil,lainnya,main
Mau bang,mau bang,lainnya,main
bsk bisa kh diambil?,bsk bisa kh diambil,lainnya,main
makasih banyak yaa bangggg,makasih banyak yaa bangggg,lainnya,main
saya ambil besok ya bang,saya ambil besok ya bang,lainnya,main
kira-kira udahnya berapa lama ni kak?,kirakira udahnya berapa lama ni kak,lainnya,external
Ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya?,ini masalah kalau diangkat sedikit langsung eror kan ya layar laptopnya,lainnya,main
tes,tes,lainnya,main
jadi gmna tu bg,jadi gmna tu bg,lainnya,main
"siap kak, nnti balik kesini lagi saya ambil nya kk",siap kak nnti balik kesini lagi saya ambil nya kk,lainnya,main
Dokumen yg di data D nya?,dokumen yg di data d nya,lainnya,main
Oo iya,oo iya,lainnya,main
jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,jadi supaya bisa masuk ke windows nya harus di install ulang ya kak,lainnya,main
Baik bg,baik bg,lainnya,main
"siang bang, mau tanya untuk laptop ultrabook yang 2jtaan ada ga bang",siang bang mau tanya untuk laptop ultrabook yang jtaan ada ga bang,lainnya,main
Bisa dicek gak.,bisa dicek gak,lainnya,main
Ini bg,ini bg,lainnya,main
udh tdi ga hidup juga,udh tdi ga hidup juga,lainnya,main
"Yaudah gpp bg, gak jadi diperbaiki",yaudah gpp bg gak jadi diperbaiki,lainnya,main
Bang,bang,lainnya,main
Tdi tu ade mnta instal ulangkan kawan,tdi tu ade mnta instal ulangkan kawan,lainnya,main
Yg lain tidak ada kah bg,yg lain tidak ada kah bg,lainnya,main
skrg masih buka kh bng,skrg masih buka kh bng,lainnya,main
Bang sya sdh jln ksna,bang sya sdh jln ksna,lainnya,main
Ok siap makasih bg,ok siap makasih bg,lainnya,main
Sye bwa ja dlu nngu kumpulkan uang bru cobe prbaiki,sye bwa ja dlu nngu kumpulkan uang bru cobe prbaiki,lainnya,main
"Saya baru bisa ambil sekarang, kalau besok pagi atau siang bisa diambil jam berapa?",saya baru bisa ambil sekarang kalau besok pagi atau siang bisa diambil jam berapa,lainnya,main
Bisa kurang gak bu?,bisa kurang gak bu,lainnya,main
bg bisa ndk ambil nya besok pas saya plg kuliah aja??,bg bisa ndk ambil nya besok pas saya plg kuliah aja,lainnya,main
Permisi Bang,permisi bang,lainnya,main
Terimakasih yaa kk informasinyaa🙏🏻,terimakasih yaa kk informasinyaa,lainnya,main
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya,main
Tapi masih ok buat dipakai y bg,tapi masih ok buat dipakai y bg,lainnya,main
untuk pembayaran bisa pakai tf ga bang,untuk pembayaran bisa pakai tf ga bang,lainnya,main
Besok buka gak min pagi2,besok buka gak min pagi,lainnya,main
Dah same solder balek ke tuh bang?,dah same solder balek ke tuh bang,lainnya,main
Masih buka kan,masih buka kan,lainnya,main
tutup jam berape bang?,tutup jam berape bang,lainnya,main
kalau keyboard 65% tu maksudnya gimanan bang,kalau keyboard tu maksudnya gimanan bang,lainnya,main
Hrus instalnulang lagi la ye ?,hrus instalnulang lagi la ye,lainnya,main
Masih lama kah download nya bang,masih lama kah download nya bang,lainnya,main
sipp,sipp,lainnya,main
misi bang udah selesai kah bang ?,misi bang udah selesai kah bang,lainnya,main
Saya mau ambil file di dalamnya bang,saya mau ambil file di dalamnya bang,lainnya,main
Siap bang,siap bang,lainnya,main
"Ok jadi bu, tolong dikerjain ya",ok jadi bu tolong dikerjain ya,lainnya,main
Instal ulang dulu yak bg untuk sementara ini,instal ulang dulu yak bg untuk sementara ini,lainnya,main
Oh gitu kak. Btw kalau jual laptop bekas disini bisa gak kak?,oh gitu kak btw kalau jual laptop bekas disini bisa gak kak,lainnya,main
Oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,lainnya,main
tiba-tiba jak bang,tibatiba jak bang,lainnya,main
kalau dikosongin aja bisa ga itu ya bg,kalau dikosongin aja bisa ga itu ya bg,lainnya,main
"Cobe abg tolong chat gini ke saye bilang, bise dipulihkan file tu",cobe abg tolong chat gini ke saye bilang bise dipulihkan file tu,lainnya,main
benar la bang,benar la bang,lainnya,main
mf kk nnti aj,mf kk nnti aj,lainnya,main
jambrp tutup toko?,jambrp tutup toko,lainnya,main
tutup jm brp kk,tutup jm brp kk,lainnya,main
"Ok 
Pembayaran bisa menggunakan qris/TF?",ok pembayaran bisa menggunakan qristf,lainnya,main
Ndak bise turun ke hargenye bang?,ndak bise turun ke hargenye bang,lainnya,external
Owh ok. Klo casannya ada jual juga kah Bang? Dan harganya berapaan?,owh ok klo casannya ada jual juga kah bang dan harganya berapaan,lainnya,main
"Hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng, kalo besok bisa ga bng datangnya??",hee maaf gak bisa bng lagi ada mata kuliah tdi bng full lagii ga main hp jga bng kalo besok bisa ga bng datangnya,lainnya,main
"Gpp dh bg, gak usah diperbaiki, laptop e udh lama juga",gpp dh bg gak usah diperbaiki laptop e udh lama juga,lainnya,main
Yg juta aja bg,yg juta aja bg,lainnya,main
