text,clean_text,intent,source
jm brp storenya tutup kak?,jm brp storenya tutup kak,lainnya,master_wa
"Bang, kalau misal Nye maseh ngefreeze padahal dah di matikan Intel uhd ye gimane la bang i",bang kalau misal nye maseh ngefreeze padahal dah di matikan intel uhd ye gimane la bang i,lainnya,master_wa
Yg kabel penyambung nye tdik tuu bang,yg kabel penyambung nye tdik tuu bang,lainnya,master_wa
kapan ya bnag baru selesai,kapan ya bnag baru selesai,lainnya,kuesioner_dialek
Jadi harus gmn bang?,jadi harus gmn bang,lainnya,master_wa
tes,tes,lainnya,master_wa
Tetap 700 gak kurang juga,tetap gak kurang juga,lainnya,master_wa
bs po ndk bang,bs po ndk bang,lainnya,master_wa
Bise nego ndak tu kak?,bise nego ndak tu kak,lainnya,kuesioner_dialek
Pas 600 bise ke bang?,pas bise ke bang,lainnya,kuesioner_dialek
Apa ya kira2 kendalanya bg,apa ya kira kendalanya bg,lainnya,master_wa
Saya mau ambil file di dalamnya bang,saya mau ambil file di dalamnya bang,lainnya,master_wa
Bang kalo prosecor nya dibetulin nggak bisa juga ya?,bang kalo prosecor nya dibetulin nggak bisa juga ya,lainnya,master_wa
Ms word bisa di update ndk?,ms word bisa di update ndk,lainnya,master_wa
brapa bg,brapa bg,lainnya,master_wa
ohh instal laptop kmren brp ya bg,ohh instal laptop kmren brp ya bg,lainnya,master_wa
Yallah e,yallah e,lainnya,master_wa
Sekali no rek ya bang,sekali no rek ya bang,lainnya,master_wa
Owh Iya Bg,owh iya bg,lainnya,master_wa
jangan bang,jangan bang,lainnya,master_wa
kira” brp ya bg btlkn ny,kira brp ya bg btlkn ny,lainnya,master_wa
Bang kalau memang processor yang rusak bisa di betulkan kah bang? Berape la kalau betulkan Nye tu ye,bang kalau memang processor yang rusak bisa di betulkan kah bang berape la kalau betulkan nye tu ye,lainnya,master_wa
Kenapa bisa begitu ya bang? Sebelumnya masi normal,kenapa bisa begitu ya bang sebelumnya masi normal,lainnya,master_wa
Sanen Jak sy ambek ih,sanen jak sy ambek ih,lainnya,master_wa
Ndak bise turun ke hargenye bang?,ndak bise turun ke hargenye bang,lainnya,kuesioner_dialek
Yg ngantarkan tu kawan saye bodo bengak2 ubi,yg ngantarkan tu kawan saye bodo bengak ubi,lainnya,master_wa
"Bg, saya ambil laptop sore hr ini ya. Dkt² magrib kek nya",bg saya ambil laptop sore hr ini ya dkt magrib kek nya,lainnya,master_wa
min adakah ready laptop yang budgetnye 4-5 jutaan,min adakah ready laptop yang budgetnye jutaan,lainnya,master_wa
Bg kureng sikit bise lah ye?,bg kureng sikit bise lah ye,lainnya,kuesioner_dialek
Bisa dicek gak.,bisa dicek gak,lainnya,master_wa
Jujur angkanya sedikit di atas anggaran yang saya siapkan. Apakah masih ada ruang untuk diskon atau negosiasi harga,jujur angkanya sedikit di atas anggaran yang saya siapkan apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya,kuesioner_dialek
Pas 600 bise ke bang?,pas bise ke bang,lainnya,kuesioner_dialek
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya kak",duh ternyata harga laptop baru gak beda jauh gak jadi ya kak,lainnya,master_wa
Buka setiap hari k bang?,buka setiap hari k bang,lainnya,master_wa
Bisa ga di aave,bisa ga di aave,lainnya,master_wa
msih,msih,lainnya,master_wa
waalaikumsalam,waalaikumsalam,lainnya,master_wa
Pagi bg,pagi bg,lainnya,master_wa
Yaudahh bg saya ambil aja laptop nya,yaudahh bg saya ambil aja laptop nya,lainnya,master_wa
Bisa diambil malam ini jam berapa ya paling malam?,bisa diambil malam ini jam berapa ya paling malam,lainnya,master_wa
Bise nego sikit ke bg biar pas gitu hargenye?,bise nego sikit ke bg biar pas gitu hargenye,lainnya,kuesioner_dialek
reskyka syahria,reskyka syahria,lainnya,master_wa
Sya pikir2 dlu bang,sya pikir dlu bang,lainnya,master_wa
iyaa bang konfirmasi lagi yaa,iyaa bang konfirmasi lagi yaa,lainnya,master_wa
ad bang makasih ya,ad bang makasih ya,lainnya,master_wa
Krm lwt dana no 087753659474 bang,krm lwt dana no bang,lainnya,master_wa
Jd udh ndk bs d selamat kan lg laptopnya bng?,jd udh ndk bs d selamat kan lg laptopnya bng,lainnya,master_wa
"Siap, ditunggu infonya",siap ditunggu infonya,lainnya,master_wa
Jadi udah bisa ya kk?,jadi udah bisa ya kk,lainnya,master_wa
apa semua nya sma,apa semua nya sma,lainnya,master_wa
permisi bang,permisi bang,lainnya,master_wa
tokooo tutup jam brpaa yaa minn,tokooo tutup jam brpaa yaa minn,lainnya,kuesioner_dialek
Acer a314-21 min,acer a min,lainnya,master_wa
Iya bg,iya bg,lainnya,master_wa
Kmren ga bisa di save,kmren ga bisa di save,lainnya,master_wa
bisa tukar tambah ga ya bg😁,bisa tukar tambah ga ya bg,lainnya,master_wa
"Laptop saye ndk mau hidup bang
Setelah di restart die ndk mau idup
Tpi kipas nye bunyi nyaring",laptop saye ndk mau hidup bang setelah di restart die ndk mau idup tpi kipas nye bunyi nyaring,lainnya,master_wa
"Untuk LCD nya, ngaruh ngak Bang, klo mau pake laptopnya?",untuk lcd nya ngaruh ngak bang klo mau pake laptopnya,lainnya,master_wa
"Oalah ,hri ini sy kesana bg",oalah hri ini sy kesana bg,lainnya,master_wa
kalau dikosongin aja bisa ga itu ya bg,kalau dikosongin aja bisa ga itu ya bg,lainnya,master_wa
Alamat lengkapnye di jalan ape ye bang?,alamat lengkapnye di jalan ape ye bang,lainnya,kuesioner_dialek
sip bang,sip bang,lainnya,master_wa
"Mahal gak ye, nd bise kurng ke min",mahal gak ye nd bise kurng ke min,lainnya,kuesioner_dialek
File kuliah tk bg kayak pdf ape tu😫😭,file kuliah tk bg kayak pdf ape tu,lainnya,master_wa
Terimakasih yaa kk informasinyaa🙏🏻,terimakasih yaa kk informasinyaa,lainnya,master_wa
Alamat lengkapnye di jalan ape ye bang?,alamat lengkapnye di jalan ape ye bang,lainnya,kuesioner_dialek
info jak ye kalau udh selesai,info jak ye kalau udh selesai,lainnya,master_wa
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,halo untuk hargenye bise nd ye bang dikurang kurang lagi karne saye kire kerusakan di lcd nye nda separah itu mohon pengertiannye bang,lainnya,kuesioner_dialek
Owh sipp bg,owh sipp bg,lainnya,master_wa
Bntar yee bang saye kesitu,bntar yee bang saye kesitu,lainnya,master_wa
Kalau pake windows 11 masih nda die ye bang,kalau pake windows masih nda die ye bang,lainnya,master_wa
Gimana Progress sekarang bang,gimana progress sekarang bang,lainnya,master_wa
Iye bang,iye bang,lainnya,master_wa
Kalau bise cepat saye bayar lebih bg 😁🙏,kalau bise cepat saye bayar lebih bg,lainnya,master_wa
yg putih bise bang,yg putih bise bang,lainnya,master_wa
ohhhh,ohhhh,lainnya,master_wa
Bg,bg,lainnya,master_wa
"Waalaikumsalam Balik dari kuliah bisa kah saya ambil ,di jam 12 atau 1an gitu lah",waalaikumsalam balik dari kuliah bisa kah saya ambil di jam atau an gitu lah,lainnya,master_wa
"800, bisa nd bang",bisa nd bang,lainnya,kuesioner_dialek
jadii itu ga ngaruh ke local disk C kan bang,jadii itu ga ngaruh ke local disk c kan bang,lainnya,master_wa
"Duh, ternyata harga laptop baru gak beda jauh, gak jadi ya kak",duh ternyata harga laptop baru gak beda jauh gak jadi ya kak,lainnya,master_wa
bang malam bisa kan ambilnya,bang malam bisa kan ambilnya,lainnya,master_wa
Emang udah rusak kybord nya suka error,emang udah rusak kybord nya suka error,lainnya,master_wa
Bg lokasi tokonye bise di shareloc ndak?,bg lokasi tokonye bise di shareloc ndak,lainnya,kuesioner_dialek
Ohhh ga bisa yaa bang,ohhh ga bisa yaa bang,lainnya,master_wa
bg kirim no rek,bg kirim no rek,lainnya,master_wa
"Mlm kk, mau nnya kk. Laptop yg td kmi antar (dell) atas nama Nauli udh selesai di cek kn kah kk?",mlm kk mau nnya kk laptop yg td kmi antar dell atas nama nauli udh selesai di cek kn kah kk,lainnya,master_wa
Bise nego ndak tu kak?,bise nego ndak tu kak,lainnya,kuesioner_dialek
MLM saya ambil ya,mlm saya ambil ya,lainnya,master_wa
Data nya ilang ga klo instal ulang?,data nya ilang ga klo instal ulang,lainnya,master_wa
Berapa totalnya kak,berapa totalnya kak,lainnya,master_wa
Buka jam brp ?,buka jam brp,lainnya,master_wa
dengan layar nye juga ye bg,dengan layar nye juga ye bg,lainnya,master_wa
Kak hargenye bise digoyang sikit ndak?,kak hargenye bise digoyang sikit ndak,lainnya,kuesioner_dialek
Semoga bs sembuh bng y,semoga bs sembuh bng y,lainnya,master_wa
Bang untuk pembayaran nya bisa tf engak?,bang untuk pembayaran nya bisa tf engak,lainnya,master_wa
Lamak ndak bg prosesnye?,lamak ndak bg prosesnye,lainnya,kuesioner_dialek
Sepertinya semua bang,sepertinya semua bang,lainnya,master_wa
Udah yaa bg,udah yaa bg,lainnya,master_wa
maksud saya minta instal kan ke windows pas laptop saya sebelum di install,maksud saya minta instal kan ke windows pas laptop saya sebelum di install,lainnya,master_wa
Bg,bg,lainnya,master_wa
Gimana kondisi nya,gimana kondisi nya,lainnya,master_wa
Udah bise download ke bg,udah bise download ke bg,lainnya,master_wa
Agak sorean ya bang saya ambilnya,agak sorean ya bang saya ambilnya,lainnya,master_wa
nanti saya ambil,nanti saya ambil,lainnya,master_wa
keyboard nya,keyboard nya,lainnya,master_wa
