text,label
coba tanya temen dlu ya pak mahal jg tnyata,batal
baterainya gak bisa dicas,batal
iya gitu aja deh mba,setuju
aman kan bang,lainnya
oke perkiraan selesai perbaikannya berapa lama ya,setuju
saya ambil ajaa besok bang maaf ya bangg budget nya belum adaa,batal
itu punya keluarga mau di buang sya ambil dikira rusak kalau untuk kuliah masih bisa bang,lainnya
okeey,lainnya
tetap gak kurang juga,batal
kan bg,lainnya
oke lh bg tapi itu kira matot atau casnya bg yg bermasalah kira,setuju
jadi speker mesin keyboard yang di perbaiki ya bang,setuju
sya konsul dlu sama ortu ternyata gak dibolehin batal bg,batal
okey bang maaf ya bang,setuju
kalau dikosongin aja bisa ga itu ya bg,lainnya
bang untuk pembayaran nya bisa tf engak,lainnya
iya kak lanjut,setuju
owh sipp bg,lainnya
besok ya bang saya ambil untuk harga bisa d infoin disini ga bang,batal
dah same solder balek ke tuh bang,lainnya
bg bisa ndk ambil nya besok pas saya plg kuliah aja,batal
siang sy tnya org rmh dlu y,lainnya
bisa kurang gak kak,batal
besok bukak jam berapa bg,batal
laptop nya boleh diambil kapan bu,lainnya
oke bg ntr saya nanya ortu dulu ya bg,setuju
oke bg nanti diambil,setuju
tapi kayanya diambil besok deh kak hujan lebat,batal
tidak jadi,batal
hargenye bise turun sikit ndak min,lainnya
jadi udah bisa ya kk,setuju
iya kak lanjutkan,setuju
selaen perbaikan laptop ade tukar tambah ndak bang,lainnya
bsk mungkin pagi atau sore saya ambil laptopnya,lainnya
owh iya bang,setuju
oke bang agak sore nanti ya bang soalnya lagi kegiatan di luar,setuju
kalau ganti keyboard lama gak,batal
kirekire maseh bise ditunggu ndak bg,lainnya
skip lok min mahal gak hargenye tu tak sanggup saye,batal
gk jd,batal
ok bang bntr y,setuju
okey bang maaf ya bang besok pasti kamek ambil bang,setuju
yang bagian mesin sama speker nya saja dulu bang kalau gitu ga buru sih bang nanti tunggu bapak on kamek kabarin abang ya jangan servis dulu gapapa bang siapa tau nanti bapak suruh ganti juga kebybord nya jadi ga sering bongkar pasang,setuju
apakah laptop sy sudah di lakukan pengecekan,lainnya
maksud saya minta instal kan ke windows pas laptop saya sebelum di install,lainnya
bang laptop tadi gaada sandi kan,lainnya
jauh bgt kak kalau bolak balik,lainnya
kabel fleksibel acer aspire g,lainnya
bang laptop saya belum kah,batal
bisa kah bang,lainnya
ohh okee bang,setuju
oke bg,setuju
siang okei nanti saya ambil,batal
ok bang sekitar sore atau habis magrib ngambilnya,setuju
sulistia,lainnya
bg kok laptop nya udh ga idup sma skli,lainnya
knp bang,lainnya
waalaikumsalam balik dari kuliah bisa kah saya ambil di jam atau an gitu lah,lainnya
lanjut pak,setuju
oke bg bentar ya,setuju
id upgrade jak bg,lainnya
mahal amat bang kurangin dong,batal
ada mines nya gak bang,batal
coba di instalkan windows dulu bang soalnya kata pemilik sebelumnya sebelum dia reset ke windows tu ga ada masalah,lainnya
oke baik laksanakan,setuju
boleh,lainnya
okeyy baik kak,setuju
kirakira bise ditahan lok ndak ye duet kamek belom ade ni,batal
sya pikir dlu bang,lainnya
siiip oke makasi kak,setuju
waalaikumsalam,lainnya
ohh ok bang mksehh infonyee,setuju
ntakkk cukupp laaa duet sayee min,batal
baik bg nnti saya ambil,setuju
oke bentar ya bang tanya bapak dulu,setuju
baik,setuju
lagi berhalangan untuk datang ke tokonsoalnya,lainnya
okeoke,lainnya
masih buka kan,lainnya
baru gitu kah bg depannya nda pakai yang patah itu lagi ya bg,lainnya
bg saya ambil laptop sore hr ini ya dkt magrib kek nya,lainnya
okey bg bntr lagi otw,setuju
okey kak,setuju
oke kk bsk yaa,setuju
bisa di ambil kapan setelah smua di servis,lainnya
mahal min gak usah lah,batal
nanti lok min kamek nak rundingkan dolo hargenye,batal
oiya baik kak nanti hari ini diambil,setuju
tutup smpai jam berapa bg,lainnya
iya nanti kasi tau aja ya kak kalau udah selesai,setuju
bang besok dah bisa di ambil engak,batal
nanti saya ambil ya,batal
siap malam ya bang,setuju
ini laptop black lagi ya bisa di setting lagi balik lagi ke awal ne,lainnya
insyaallah nanti saya ambil bg,batal
besok yaa bang,batal
besok udah bisa ambilkan bang,batal
batal bg,batal
aok bang tapi bise dikerjekan hari itok ke,setuju
nd usah,batal
jadi besok saya tinggal ambil aja,setuju
sbnarnya cma takut hilang file nya tp klo bsa sklian mau perbaiki juga,lainnya
ohh iya baik bang,setuju
iya mas dsini kondisi hujan,setuju
ok bg,setuju
iya bg,setuju
misi bang,lainnya
batal kak,batal
ohh oke bang,setuju
pak estimasi beresnye kirekire lamak tak,lainnya
iyaa okeey,lainnya
maaf bang br lihat kalo ganti hard disk aja gimana bang,lainnya
oke bang,setuju
bolehhh min,setuju
kemungkinan besok atau senin lah bg langsung kuliah,batal
okee kak makasih infonya,setuju
bg lokasi tokonye bise di shareloc ndak,lainnya
gak usah di benerin aja kak besok saya ambil laptop nya,batal
okey bang makasih banyak,setuju
oke pak jadi diperbaiki,setuju
acer a min,lainnya
pengerjaan nya,lainnya
baik bg,setuju
mahal amat bg kurangin dong,batal
okeh min,setuju
oke sep bang,setuju
iyaaa bang nantik saya ambil ya,lainnya
okey nanti saya kesana,setuju
nah itu saya pun bingung bang kenapa malah keyboard nya jadi bermasalah padahal sebelumnya nda pernah ada masalah,setuju
nanti saya ambil,batal
anda belum memiliki aplikasi myim untuk mengaktifkan perlindungan anti spam dan scam dari satspam harap mendownload aplikasi myim untuk mengaktifkan layanan tanpa biaya apapun,batal
oke sore ya kak,setuju
gas bang,setuju
tak jadi,batal
semoga bs sembuh bng y,lainnya
gimana kondisi nya,lainnya
besok pagisiang saye ambil bg,batal
gerak bang hanye kiri kanannye nd bise di tekan,lainnya
besok bukak jam brpe bang,batal
yallah e,lainnya
ohh baik lhh bng,setuju
file hilang nda kak instal nye,lainnya
bang kalau ganti batrai brpan ya,lainnya
iya kah kak gimana persyaratannya,setuju
oke ka tar ya balik ngampus,setuju
bang saya ambil hari minggu atau senin ya bang soal ny lagi ndk ada di ponti,lainnya
oke siap bang sore atau maghrib saye ke sana,setuju
kira kira minggu udh bisa di ambil engak bang,lainnya
tadi gak keburu jdi krja dulu,batal
bisa nego ga kk,lainnya
saya belum ambil bg,batal
nanti inpokan kalo udah ye,setuju
belum kah bang,batal
macam ndak mampu kamek bayarnye bg pass dolo,batal
maaf sya mau tanya,lainnya
lupa nanya kmrn klu ganti speaker laptop yg kmrn brp,lainnya
tahan lok bang tak cukop dana saye itok,batal
ga jadi deh kak,batal
bg kureng sikit bise lah ye,lainnya
okeyy bg besok jak ya saya ambil,batal
okey makasih banyak bang,setuju
boleh bg nanti klo sudah selesai infokn saja,batal
yang harga rb tadi,lainnya
habis berapa itu bg klo di total,lainnya
berapa semuanya ongkosnya bang,lainnya
okeh,setuju
oala oke kak besok saya antar laptop ya,setuju
okay,lainnya
kok bse ganti ganti agi bng,lainnya
bang toko ny tutup jam berapa ya bang,lainnya
boleh video in endk bang,lainnya
besok saya ngambil nya bg,batal
oke bangg,setuju
kamek sie dolok jak bentar lagi bang,lainnya
oke kak jadi diperbaiki,setuju
selamat malam bang maaf sblmnya menganggu saya mau nanya nih kenapa ya smart gesture scroll fingers d laptop saya jd nda berfungsi ya semenjak di install ulang kemarin awalnya saya pikir karena laptop saya belum tersambung k internet makanya ada instalan ny blm selesai tapi setelah kemarin tersambung k internet dan saya cb lihat di laman pengaturan nya ttp nda bisa berfungsi itu kenapa ya,batal
lanjut bg,setuju
gmn besok aja saya ke sana mas,batal
masalah lain gak ada bang,batal
ini bg,lainnya
gimana bang belum bisa kah,batal
abg buka nd yah hari ini saya antar leptop lgi,lainnya
boleh min,setuju
ini sistemnya tf nanti ya bang apa tf dulu,batal
besok buka jamber,batal
iya bg udh di pindahin,setuju
bg ada jual cas laptop nda,lainnya
inii saja dulu bang di perbaiki masalah tambah ram nanti ya bang soal nya bapak belum ada di rumah,batal
ndak bise turun ke hargenye bang,lainnya
kan kemarin abg bilang buat bagi penyimpanan nya juga ke data d tapi data d juga ada disitu ngaruh gak kira ke penyimpanan local disk c nya,batal
intinya leptop tu bang yang bermasalah awalnya cuma mau ngidupin nya jak sulit kadang langusng hidup kadang harus di buka tutupbuka tutup dulu baru hidup kata abng saya,lainnya
siang sore ya bang saya ngambil leptopnya,lainnya
oke bang siang ini saya bawa ke toko,setuju
tokonya tutup jam berapa ya,lainnya
bang kemarin pas adik saya buka laptop touchpadny gabisa pakekenapa ya,lainnya
ok kk sbntr lagi kmi ambil,setuju
bisa dicek gak,batal
okee kak kabarin aja nnti ya bg,setuju
skip lok kak kamek cari pinjaman dolo,batal
berarti harus di ganti keyboard ny dlu baru bisa di instal ulang kak,lainnya
iya kak jadi penting bisa dipake lagi,setuju
jadi gmn kak udh ada konfirmasi dri jakarta kah berapa harganya,setuju
aok pak sikat jak nnti saye ke situ ambeknye,setuju
apakah ada yg perlu diperbaiki bg,lainnya
oo iya,setuju
iya bang besok ngambil nya boleh kah tapi kalau nanti malam uang nya cepat di tf kamek ambil nanti malam bang,setuju
selamat malam juga bang tadi saya udah kasih tau orang tua untuk biayanya kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko,setuju
mahal amat bu kurangin dong,batal
saya ambil aja dl bang hr ini nnt kl udh deal sm papa saya br saya kesana lagi,lainnya
hari ini buka kah bang,lainnya
cancel min,batal
oo gtu ya oke la bgupgrade lagi aja la bg ke wd,setuju
saya otw skng bg,setuju
baik ditunggu infonya,setuju
oke bg saya bawa ke sana,setuju
siap ditunggu infonya,setuju
gimana progress sekarang bang,lainnya
oke bang besok saya ambil,setuju
waalaikumsalam oke bang,setuju
skip lok pak kamek agek banyak pengeluaran,batal
sya konsul dlu sama ortu ternyata gak dibolehin batal bu,batal
oalahh oke deh min,setuju
besok jak bah boleh dk saye ambilnya,batal
apa ya kira kendalanya bg,lainnya
ok bntar,setuju
di titip di sana aja dl gpp kan,lainnya
siap kak nnti balik kesini lagi saya ambil nya kk,setuju
mahal amat kak kurangin dong,batal
batal min,batal
ohh baik lahh bang,setuju
min sy mau jual laptop bisa ka,lainnya
iya bang untuk sekarang emang baterai nya aman keyboard nya ja ni kemarin pun nda ada cek lain kan ya selain baterai,setuju
waalaikumsalam okee bang nanti saya ambil yaa,setuju
ok nanti saya ke sana,setuju
okee aman ya bg batrai aja berarti,setuju
okee makasihhh banggg,setuju
audio,lainnya
saya mau jual laptop,lainnya
program cegah stroke jangan sepelekan tekanan darah tinggi berulang lebih dari mmhg disertai dengan nyeri kepala migrain berulang maupun pusing berputar vertigo atau ngambang vertigo central bila disertai dengan riwayat pandangan gelap atau berkunang kunang atau kesemutan neuropati artinya aliran darah ke otak kurang lancar vertebrobasilar artery sindrome gejala awal stroke terlebih ada riwayat gula darah tinggi mgdl diabetes segera konsultasi biaya gratis seikhlasnya,setuju
saya mau jual ssd,lainnya
itu termasuk yang bermasalah pas mau di hidup kan itu kah bang,lainnya
hallo bg maaf mau tanya laptop yg ini gimna ya udah selesai blm ya,lainnya
gk jd bg,batal
alaaa bangg,lainnya
oke bg makasi mungkin mingdep saye ambek laptopnye bg,setuju
okei bg saya tanya orng rumah dulu nnti saya kabari lagii,lainnya
oke bang nanti saya ambil ya,setuju
mungkin blm bisa hari ini sy kesana bg soalnya masih di kampung,lainnya
siap bang,setuju
oke gppa mas,setuju
jam berapa toko tutup,lainnya
waalaikumsalam bang besok ya,batal
ok bng,setuju
jadi aman kah kak,setuju
malam ini bisa ya,lainnya
ye,lainnya
inpo kalo udah min,setuju
belom ade rezekinye bang simpan lok balek,batal
pagi bang ini kenapa laptopnya aneh ya setiap saya mau ngetik malah nda bisa,lainnya
yg laptop part gosong part nya bagian apa,lainnya
ok bentar lagi saye kesana,setuju
diskon dikit boleh bang,lainnya
untuk layarnye aman nd bg abang udh cobe hidupin belum,batal
besok aja ya kak saya ngambil nya saya lagi diluar pontianak,batal
waduh saya lagi diluar ni bang tokonya buka sampai jam berapa bang,lainnya
klo gtu gmne la bg,lainnya
gas min,setuju
oke bang buka sampe jam berapa bg,setuju
okelaa bang,lainnya
tak usah yak bg,batal
oh oke siap laksanakan,setuju
