Message Body,Teks_Bersih,Label
Oke bg,oke bg,setuju
Bg berapa kemarin harganya ya,bg berapa kemarin harganya ya,setuju
Okey bg,okey bg,setuju
Tutup jam brp bg,tutup jam brp bg,umum_teknis
Okey bg bntr lagi saya kesana,okey bg bntr lagi saya kesana,setuju
Saya otw kesana bg,saya otw kesana bg,setuju
misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,misa bg sya kemarin servis leptop ditempat abg atas nama maya leptop ya nd mau hidup lgi,setuju
abg buka nd yah hari ini saya antar leptop lgi,abg buka nd yah hari ini saya antar leptop lgi,setuju
oke nnti saya bawa,oke nnti saya bawa,setuju
bg mau tanya leptop nya udh betul belum,bg mau tanya leptop nya udh betul belum,tanya_status
oke bg,oke bg,setuju
besok sya ambil yah bg,besok sya ambil yah bg,setuju
bg ad biaya tambahan gk,bg ad biaya tambahan gk,setuju
oke bg,oke bg,setuju
bg besok yk sye ambil nd sempat hri ni,bg besok yk sye ambil nd sempat hri ni,setuju
min adakah ready laptop yang budgetnye 4-5 jutaan,min adakah ready laptop yang budgetnye 45 jutaan,setuju
Ok,ok,setuju
Oke bang,oke bang,setuju
"Pagi min, mau tanya kalau service laptop rusak lcd nya berapa ya biayanya?",pagi min mau tanya kalau service laptop rusak lcd nya berapa ya biayanya,setuju
Okeey min,okeey min,setuju
"Abis file kuliah saye, emg nd bise benar k bg, nanti sye bayar",abis file kuliah saye emg nd bise benar k bg nanti sye bayar,setuju
File kuliah tk bg kayak pdf ape tu😫😭,file kuliah tk bg kayak pdf ape tu,setuju
Yallah e,yallah e,setuju
Saye nd tau ape2 saye barok balek kampong,saye nd tau ape2 saye barok balek kampong,setuju
macbook bisa min?,macbook bisa min,setuju
oalahh oke deh min,oalahh oke deh min,setuju
"Anda belum memiliki aplikasi myIM3 untuk mengaktifkan perlindungan Anti Spam dan Scam dari SATSPAM+. Harap mendownload aplikasi myIM3 untuk mengaktifkan layanan, tanpa biaya apapun.",anda belum memiliki aplikasi myim3 untuk mengaktifkan perlindungan anti spam dan scam dari satspam harap mendownload aplikasi myim3 untuk mengaktifkan layanan tanpa biaya apapun,tanya_status
"🔄 *Pesan pengingat agar nomormu aman*

Pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi IM3. Informasi dan layanan isi ulang pulsa dapat diakses langsung lewat IM3 WhatsApp.

Klik *Isi Pulsa* untuk melanjutkan.",pesan pengingat agar nomormu aman pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi im3 informasi dan layanan isi ulang pulsa dapat diakses langsung lewat im3 whatsapp klik isi pulsa untuk melanjutkan,setuju
"🔄 *Pesan pengingat agar nomormu aman*

Pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi IM3. Informasi dan layanan isi ulang pulsa dapat diakses langsung lewat IM3 WhatsApp.

Klik *Isi Pulsa* untuk melanjutkan.",pesan pengingat agar nomormu aman pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi im3 informasi dan layanan isi ulang pulsa dapat diakses langsung lewat im3 whatsapp klik isi pulsa untuk melanjutkan,setuju
Iya bg,iya bg,setuju
oke kak terimakasi,oke kak terimakasi,setuju
okey bang terimakasih,okey bang terimakasih,setuju
mau coba nanya dulu,mau coba nanya dulu,setuju
"kira kira kalo saya mau jual macbook pro 2017 touchbar 15"", dapat di berapa ya?",kira kira kalo saya mau jual macbook pro 2017 touchbar 15 dapat di berapa ya,setuju
"minus hanya shadow tipis pink, dan port hanya bisa 1 untuk charging, port lain pemindahan data",minus hanya shadow tipis pink dan port hanya bisa 1 untuk charging port lain pemindahan data,setuju
lagi berhalangan untuk datang ke tokonsoalnya 🙏🏾,lagi berhalangan untuk datang ke tokonsoalnya,setuju
"oke kak, thankyou",oke kak thankyou,setuju
besok ya bg sepulang kuliah,besok ya bg sepulang kuliah,setuju
kalau boleh tau buka dri jam brp bg?,kalau boleh tau buka dri jam brp bg,umum_teknis
Oke bg,oke bg,setuju
Udah bisa di ambil kah bg laptop nya?,udah bisa di ambil kah bg laptop nya,setuju
Ok bng,ok bng,setuju
Jam berape bise ddi ambek,jam berape bise ddi ambek,umum_teknis
"Coba di instalkan windows 11 dulu bang, soalnya kata pemilik sebelumnya, sebelum dia reset ke windows 10 tu ga ada masalah",coba di instalkan windows 11 dulu bang soalnya kata pemilik sebelumnya sebelum dia reset ke windows 10 tu ga ada masalah,tanya_status
Bang kalau memang processor yang rusak bisa di betulkan kah bang? Berape la kalau betulkan Nye tu ye,bang kalau memang processor yang rusak bisa di betulkan kah bang berape la kalau betulkan nye tu ye,setuju
Pas Abang cek SSD nya dak Ade masalah ke bang kemarin,pas abang cek ssd nya dak ade masalah ke bang kemarin,setuju
kamek sie dolok jak bentar lagi bang,kamek sie dolok jak bentar lagi bang,setuju
tahan jak lok bang,tahan jak lok bang,setuju
Sian harapan ke dah ratinye selaing ganti masen,sian harapan ke dah ratinye selaing ganti masen,umum_teknis
"Maaf Sya Mau Tanya,,",maaf sya mau tanya,setuju
Ram nya Cuma 2,ram nya cuma 2,setuju
"Oh Iya Bang,,",oh iya bang,setuju
Ada mines nya gak bang,ada mines nya gak bang,setuju
Oke bang hari ni saya datang ke store,oke bang hari ni saya datang ke store,setuju
"Permisi bang,ni laptop sinyal nya lemot,trs wifi nya sering tersambung ulang,sering disconnect, padahall wifi saya pake di hp lancar""aja ntar sore bisa kah bang saya bawa laptop nya di sana,buat di seting""biar gak lemot Singal nya",permisi bangni laptop sinyal nya lemottrs wifi nya sering tersambung ulangsering disconnect padahall wifi saya pake di hp lancaraja ntar sore bisa kah bang saya bawa laptop nya di sanabuat di setingbiar gak lemot singal nya,setuju
Oke bang ntar sore saya ke sana,oke bang ntar sore saya ke sana,setuju
Toko nya tutup jam brp an bang,toko nya tutup jam brp an bang,setuju
saya mau jual laptop,saya mau jual laptop,setuju
okey kak,okey kak,setuju
Asus Vivobook A416JA terima jual brp kk?,asus vivobook a416ja terima jual brp kk,setuju
Selamat siang bg izin bertanya apakah laptop yang harganya 2 juta masih ada,selamat siang bg izin bertanya apakah laptop yang harganya 2 juta masih ada,setuju
Yg ini berharga bg,yg ini berharga bg,umum_teknis
Baiklah bg nanti kalau jd saya infokn,baiklah bg nanti kalau jd saya infokn,setuju
Saya mau cari yg 2 juta,saya mau cari yg 2 juta,setuju
Info aja bg kalau ada laptop yg harga 2 juta ya,info aja bg kalau ada laptop yg harga 2 juta ya,setuju
Ok bg nanti saya infokn lagi ya,ok bg nanti saya infokn lagi ya,setuju
https://vt.tiktok.com/ZS5so4Nkx/,httpsvttiktokcomzs5so4nkx,setuju
Oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,oo iya permisi ya bang kalau hari ini mungkin saya blm bisa ngambil soalnya lagi pergi ngk di pontianak,setuju
Mungkin besok baru saya bisa ambil🙏🙏,mungkin besok baru saya bisa ambil,setuju
Permisi bang maaf sebelum nya itu kalau misal nya saya blm bisa ambil sekarang ngk papa bang hujan soalnya🙏🙏,permisi bang maaf sebelum nya itu kalau misal nya saya blm bisa ambil sekarang ngk papa bang hujan soalnya,tanya_status
Tapi saya usahain malam ini kalau bs,tapi saya usahain malam ini kalau bs,setuju
Oky makasih bang ya,oky makasih bang ya,setuju
"siang bang, mau tanya untuk laptop ultrabook yang 2jtaan ada ga bang",siang bang mau tanya untuk laptop ultrabook yang 2jtaan ada ga bang,setuju
saya mau jual ssd,saya mau jual ssd,setuju
oke min,oke min,setuju
Baik bang saya teruskan dulu k abg saya yaa,baik bang saya teruskan dulu k abg saya yaa,setuju
